	Group I		Group II	
Aminoglycoside	0.000549282	0.000371574	0.000666769	0.000384449
Bacitracin	0.004484262	0.001242559	0.008310749	0.001265994
Beta_Lactam	0.000872859	0.000459428	0.000762693	0.00029353
Carbomycin	2.63067E-05	5.22825E-05	1.42667E-05	2.21019E-05
Chloramphenicol	0.000239648	0.000238945	0.000869793	0.000351664
Fosfomycin	0.000366732	0.000338447	0.000339731	0.000350702
Fosmidomycin	2.47E-04	0.000204915	0.000265784	0.000223518
Kasugamycin	0.000363858	0.00027909	0.000913829	0.000473546
MLS	0.006628418	0.001698365	0.006470382	0.001259302
Multidrug	0.015597691	0.002046588	0.023675093	0.004739416
Polymyxin	0.001487856	0.000542992	0.001546972	0.000537387
Quinolone	4.35043E-05	9.03838E-05	0.001245196	0.001868923
Rifamycin	0.000124291	0.000154008	0.000233538	0.000214798
Sulfonamide	0.000383308	0.000263056	0.000808015	0.000396181
Tetracycline	0.004664133	0.001314761	0.005991797	0.002553056
Trimethoprim	0.000725374	0.000642501	0.001294901	0.000721618
Unclassified	0.019938733	0.002763592	0.023189137	0.004828584
Vancomycin	0.001605104	0.000971243	0.001501765	0.000212939
