P	P.JF.C	P.SC	P.JF	Control
aminoglycoside__aac(3)-I	aminoglycoside__aac(2')-I	aminoglycoside__aac(3)-I	aminoglycoside__aac(3)-I	aminoglycoside__aac(3)-I
aminoglycoside__aac(3)-IIIa	aminoglycoside__aac(3)-I	aminoglycoside__aac(3)-IV	aminoglycoside__aac(3)-IV	aminoglycoside__aac(3)-IIIa
aminoglycoside__aac(3)-IV	aminoglycoside__aac(3)-IIIa	aminoglycoside__aac(6')-II	aminoglycoside__aph(6)-I	aminoglycoside__aac(3)-IV
aminoglycoside__aac(6')-II	aminoglycoside__aac(3)-IV	aminoglycoside__aadA	bacitracin__bacA	aminoglycoside__aac(6')-I
aminoglycoside__aadA	aminoglycoside__aadA	aminoglycoside__aph(6)-I	bacitracin__bcrA	aminoglycoside__aac(6')-II
aminoglycoside__aph(3')-I	aminoglycoside__aph(3')-I	bacitracin__bacA	beta-lactam__CARB-5	bacitracin__bacA
aminoglycoside__aph(6)-I	aminoglycoside__aph(6)-I	bacitracin__bcrA	beta-lactam__CARB-6	bacitracin__bcrA
bacitracin__bacA	bacitracin__bacA	beta-lactam__CARB-3	beta-lactam__OXA-21	beta-lactam__blaI
bacitracin__bcrA	bacitracin__bcrA	beta-lactam__OXA-119	beta-lactam__OXA-37	beta-lactam__OXA-22
beta-lactam__class A beta-lactamase	beta-lactam__CARB-12	beta-lactam__OXA-21	beta-lactam__OXA-50	beta-lactam__OXA-50
beta-lactam__class B beta-lactamase	beta-lactam__CARB-6	beta-lactam__OXA-22	beta-lactam__OXA-60	beta-lactam__PBP-1A
beta-lactam__GIM-1	beta-lactam__CTX-M-5	beta-lactam__OXA-226	beta-lactam__PBP-1A	beta-lactam__THIN-B
beta-lactam__LEN-2	beta-lactam__GIM-1	beta-lactam__OXA-34	chloramphenicol__catB	chloramphenicol__cat
beta-lactam__OXA-141	beta-lactam__NPS-1	beta-lactam__OXA-50	fosfomycin__fosX	fosfomycin__fosX
beta-lactam__OXA-21	beta-lactam__OXA-205	beta-lactam__OXA-60	fosmidomycin__rosA	fosmidomycin__rosA
beta-lactam__OXA-36	beta-lactam__OXA-34	beta-lactam__PBP-1A	fosmidomycin__rosB	fosmidomycin__rosB
beta-lactam__OXA-50	beta-lactam__OXA-50	beta-lactam__PER-2	kasugamycin__ksgA	kasugamycin__ksgA
beta-lactam__OXA-53	beta-lactam__PBP-1A	beta-lactam__PER-3	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin__ereA
beta-lactam__OXA-60	beta-lactam__PSE-1	beta-lactam__PSE-1	macrolide-lincosamide-streptogramin__srmB	macrolide-lincosamide-streptogramin__macB
beta-lactam__PBP-1A	carbomycin__carA	carbomycin__carA	macrolide-lincosamide-streptogramin__tlcC	macrolide-lincosamide-streptogramin__vatE
beta-lactam__PER-3	chloramphenicol__cat	chloramphenicol__cat	macrolide-lincosamide-streptogramin__vatC	macrolide-lincosamide-streptogramin__vatG
beta-lactam__SME-3	chloramphenicol__catB	chloramphenicol__catB	macrolide-lincosamide-streptogramin__vatG	multidrug__ABC_transporter
carbomycin__carA	chloramphenicol__fexA	chloramphenicol__fexA	multidrug__ABC_transporter	multidrug__acrB
chloramphenicol__cat	fosfomycin__fosX	fosfomycin__fosX	multidrug__acrA	multidrug__acrF
chloramphenicol__catB	fosmidomycin__rosA	fosmidomycin__rosA	multidrug__acrB	multidrug__adeJ
chloramphenicol__fexA	fosmidomycin__rosB	fosmidomycin__rosB	multidrug__acrF	multidrug__bpeF
chloramphenicol__floR	kasugamycin__ksgA	kasugamycin__ksgA	multidrug__adeJ	multidrug__ceoB
fosfomycin__fosA	macrolide-lincosamide-streptogramin__ereB	macrolide-lincosamide-streptogramin__macB	multidrug__bpeF	multidrug__cmeB
fosfomycin__fosX	macrolide-lincosamide-streptogramin__ermF	macrolide-lincosamide-streptogramin__srmB	multidrug__ceoB	multidrug__mdtB
fosmidomycin__rosA	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin__vatA	multidrug__cmeB	multidrug__mdtC
fosmidomycin__rosB	macrolide-lincosamide-streptogramin__mphA	macrolide-lincosamide-streptogramin__vatC	multidrug__mdtC	multidrug__mdtF
kasugamycin__ksgA	macrolide-lincosamide-streptogramin__msrC	macrolide-lincosamide-streptogramin__vatG	multidrug__mdtF	multidrug__mdtK
macrolide-lincosamide-streptogramin__erm(35)	macrolide-lincosamide-streptogramin__vatA	multidrug__ABC_transporter	multidrug__mdtK	multidrug__mdtN
macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin__vatC	multidrug__acrA	multidrug__mexB	multidrug__mexB
macrolide-lincosamide-streptogramin__oleB	macrolide-lincosamide-streptogramin__vatG	multidrug__acrB	multidrug__mexC	multidrug__mexD
macrolide-lincosamide-streptogramin__vatC	multidrug__acrA	multidrug__acrF	multidrug__mexD	multidrug__mexF
