	P	P.JF.C	P.JF	P.SC	Control
Aminoglycoside	0.001904334	0.00486931	0.008131079	0.004874694	0.005733122
Bacitracin	0.105673206	0.107253598	0.077429348	0.059768353	0.094899572
Beta_Lactam	0.003160389	0.003238849	0.005998748	0.002801051	0.004394826
Fosfomycin	0.002941294	0.005156834	0.002455143	0.005346089	0.010934049
Fosmidomycin	0.002339655	0.004617524	0.005273169	0.003557554	0.003988483
Kasugamycin	0.01243345	0.01086399	0.01032814	0.00495211	0.00375806
MLS	0.073032391	0.087000549	0.088547804	0.103376611	0.140050192
Multidrug	0.263071467	0.304920647	0.287092389	0.259462232	0.242084593
Polymyxin	0.020346215	0.019192315	0.022367876	0.029921992	0.0236523
Sulfonamide	0.006380986	0.00497684	0.002918127	0.000532615	0.002312534
Tetracycline	0.069125154	0.057782704	0.061140372	0.086627729	0.072673991
Trimethoprim	0.002480585	0.002027868	0.00528915	0.006837743	0.006910362
Unclassified	0.306117238	0.284028977	0.359843528	0.338305351	0.324567825
Vancomycin	0.017097018	0.019110827	0.01166928	0.034255629	0.027963053
