	P	P.JF.C	P.JF	P.SC	Control
Flavobacteriaceae	44.05788333	59.75586	1.308236667	6.11747	0.15746
Xanthomonadaceae	7.630766667	9.4611	12.38729	41.31411333	38.46112667
Phycodnaviridae	2.97807	0.010453333	77.26396333	0.687506667	2.05119
Epsilonproteobacteria_noname	9.68886	0.586653333	0.39766	22.21606333	4.55645
Alteromonadaceae	16.66159333	12.26446	1.391226667	2.0149	0.157053333
Podoviridae	0	0	0.87851	6.9376	22.29581
Nitrosopumilaceae	0.039906667	0.062206667	0.552126667	1.023786667	27.85869333
Piscirickettsiaceae	4.09516	9.641386667	0.132103333	0.277113333	0.052366667
Dictyosteliida_noname	0.53129	0.567586667	1.219203333	6.37571	0.906333333
Others	14.31647	7.650293333	4.46968	13.03573667	3.503516667
