	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
k__Archaea|p__Archaea_noname	0.00247	0	0.00225	0.00894	0	0.00724	0	0	0	0.0058	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0.2169	0.12577	0.11813	0.12112	0.10524	0.16952	0.04233	0.09175	0.13493	0.09877	0.08063	0.06457	0.22898	0.16199	0.02807
k__Archaea|p__Thaumarchaeota	0.03252	0.06147	0.02816	0.05478	0.04314	0.0887	0.68937	1.62955	0.81745	0.77189	0.452	0.43249	21.98694	24.84643	36.82854
k__Bacteria|p__Actinobacteria	0.03511	0.02825	0.0249	0.0628	0.01851	0.04032	0.02519	0.10941	0.15369	0.03155	0.00678	0.01185	0.04991	0.04149	0.00777
k__Bacteria|p__Bacteroidetes	40.07095	57.31596	36.09968	50.1252	65.87876	65.99598	2.995	5.99948	11.1634	1.89981	1.18618	1.41446	0.14861	0.10949	0.2856
k__Bacteria|p__Chloroflexi	0.00199	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0
k__Bacteria|p__Cyanobacteria	0.19222	0.32374	0.38677	0.48483	0.24832	0.4221	0.18322	0.16483	0.2919	0.17722	0.14616	0.20138	0	0.03255	0.05445
k__Bacteria|p__Firmicutes	0.09658	0.04605	0.04892	0.06755	0.08583	0.05228	0	0.03554	0.04993	0.02118	0.00409	0.00496	0.14844	0.04749	0.06758
k__Bacteria|p__Marinimicrobia	0.00948	0.0064	0.00518	0	0.00314	0	0	0	0	0.02821	0.01909	0.01415	0	0	0.01133
k__Bacteria|p__Planctomycetes	0.02725	0.01676	0.02385	0.04416	0.01937	0.02332	0.04367	0.09143	0.14742	0.01441	0.0123	0.02358	0.00724	0.03038	0.02396
k__Bacteria|p__Proteobacteria	52.54735	39.25935	61.18718	48.17268	32.63295	31.76045	72.2175	83.33081	74.56279	21.61792	14.45188	17.21469	50.18628	40.08763	47.19923
k__Bacteria|p__Verrucomicrobia	0.03468	0.03869	0.04202	0.0182	0.01882	0.01464	0.03577	0.15668	0.37647	0.07201	0.09047	0.07914	0.2757	0.17244	0.16312
k__Eukaryota|p__Apicomplexa	0.01943	0.00596	0.01771	0.00831	0.00582	0.02437	0	0.11494	0.1757	0.09978	0.01548	0.03449	0.06743	0.04732	0.03421
k__Eukaryota|p__Eukaryota_noname	0.8944	0.57508	0.99636	0.37634	0.81823	1.36903	2.47372	7.36076	10.48609	2.60598	1.13713	0.8358	1.00384	1.02715	1.08768
k__Viruses|p__Viruses_noname	5.81867	2.18221	0.93333	0.01059	0.01112	0.00965	21.25489	0.90608	0.75084	72.53465	82.24676	79.646	25.88173	32.96804	14.19123
k__Bacteria|p__Bacteria_noname	0	0.00126	0	0	0.00126	0	0	0	0	0.00174	0	0.00506	0	0	0
k__Bacteria|p__Chlorobi	0	0.01038	0	0.00931	0.00793	0	0.02442	0	0.03723	0.00429	0	0.00467	0	0	0.00565
k__Bacteria|p__Spirochaetes	0	0.00268	0.00687	0.01	0.01012	0.01607	0	0	0.01915	0.01321	0	0.00908	0	0	0.01158
k__Bacteria|p__Acidobacteria	0	0	0.07474	0	0	0	0	0	0.83302	0	0.15104	0	0	0.41859	0
k__Bacteria|p__Synergistetes	0	0	0.00141	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Thermotogae	0	0	0.00254	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deferribacteres	0	0	0	0.00193	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes	0	0	0	0.00384	0.00403	0.00116	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Bacillariophyta	0	0	0	0.41942	0.08621	0.00404	0	0	0	0	0	0.00078	0	0.00313	0
k__Bacteria|p__Ignavibacteriae	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus	0	0	0	0	0	0.00114	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiae	0	0	0	0	0	0	0.00533	0.00874	0	0	0	0	0	0	0
k__Bacteria|p__Lentisphaerae	0	0	0	0	0	0	0.00959	0	0	0.00156	0	0.00113	0.0149	0	0
k__Bacteria|p__Nitrospinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00589	0
