	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
Carbomycin	0	4.27E-05	0	0	4.29E-05	0	0.000112533	0.000124227	0	0	0	0	0	0	0
Rifamycin	0.000528463	0	0	0.000376927	0.000330553	0.000165286	0	0.00025165	0	0.000261228	0.00021995	0.000385792	0	0	0
Fosmidomycin	0.00024143	4.18E-05	0.000301234	0.000681399	0.000117003	0.000211835	5.51E-05	0.000182368	0.000432386	0.000157054	0.000609598	9.73E-05	0.00014544	6.38E-05	0.00048087
Fosfomycin	0.000733099	0.000177057	0	0.000790199	0	0.000338029	0	0.000561056	0.000445513	0	0.000402244	0	0.000890682	0.000781019	0.000220078
Chloramphenicol	0.001189054	0.000515192	0.001231553	0.00050046	0.001138708	0.000643792	0.000147632	0.000325947	0.000715561	0	0.000127377	0.000512229	0.000188033	0	0.00014005
Quinolone	0.000842351	0.000740291	0.005019565	0.000257085	0.000479913	0.00013197	0.000142215	0	0.000249324	0	0	0	0	0	0
Sulfonamide	0.000745948	0.000654428	0.001418761	0.000714007	0.00025116	0.001063785	0.000757013	0.00048989	0.000268556	0.000618455	0.000337756	0.00057799	0	0	0.000400108
Kasugamycin	0.000363622	0.000950427	0.001792067	0.000772415	0.000780434	0.00082401	0.000455924	0.000376553	9.99E-05	0.000316126	0.000981988	0.000394023	0.000434986	0	0.000215224
Aminoglycoside	0.000872218	0.000592021	0.000239482	0.00053305	0.000435732	0.001328113	0	0.000950422	0.00061621	0.000371209	0.000856012	0.000192086	0.001085114	0.000247323	0.000625161
Beta_Lactam	0.001254173	0.000796658	0.000773834	0.000459663	0.000460353	0.000831478	0.000782677	0.001423445	0.001268491	0.000759652	0.000997941	0.000509798	0.001504062	0.000396471	0.000213196
Trimethoprim	0.001186838	0.001611802	0.000137634	0.001175749	0.001295664	0.002361717	0.00019747	0.001739832	0	0.001279324	0.00081942	0.000342574	0.001522227	0.000441085	0.000186436
Polymyxin	0.002135451	0.001819659	0.001127768	0.002109892	0.000931058	0.001158006	0.002348698	0.001555655	0.0017294	0.001917831	0.0009727	0.000774165	0.001196573	0.000944323	0.001951361
Vancomycin	0.001523497	0.001713921	0.001528185	0.001691119	0.001424552	0.001129317	0.003418306	0.002394183	0.000927153	0.001136097	0.000421437	0.000813126	0.002304326	0.001975744	0.001055564
Tetracycline	0.00450883	0.005416874	0.011049364	0.005947276	0.004752238	0.0042762	0.004060351	0.006360487	0.007213834	0.003739829	0.003918603	0.003339785	0.004616981	0.003755887	0.004971444
Bacitracin	0.006845076	0.009225371	0.010328762	0.008018061	0.007422388	0.008024837	0.003070279	0.002963071	0.005219916	0.0038632	0.004446532	0.004376097	0.006727521	0.003896005	0.00579574
MLS	0.008022326	0.005181623	0.005331299	0.007999995	0.006076866	0.006210185	0.006512979	0.007675865	0.00574689	0.005695301	0.004782436	0.004402922	0.008724406	0.006738539	0.00937642
Multidrug	0.021653096	0.019563998	0.030856403	0.027887998	0.02306459	0.019024475	0.015850016	0.017704698	0.016411288	0.013540381	0.016998131	0.017225425	0.013151431	0.012291809	0.017206037
Unclassified	0.0224701	0.021693259	0.03283069	0.020625002	0.019647672	0.021868096	0.019522274	0.023624443	0.020799682	0.014996301	0.021929745	0.022420308	0.017988088	0.017242162	0.020925595
Total	0.075115572	0.070737081	0.103966601	0.080540297	0.068651784	0.069591131	0.057433467	0.068703792	0.062144104	0.048651988	0.05882187	0.05636362	0.06047987	0.048774167	0.063763284
