Functional_Category	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
A	480.6302257	435.8591006	603.7853514	642.4623351	476.2119687	355.0438596	514.8420926	688.2964879	1155.660882	1068.958729	624.1502963	1081.175769	622.4993661	688.7799807	1008.710068
B	5247.133359	5244.832233	5056.146679	4875.174628	4733.064745	4035.912858	5188.878315	5357.815114	5164.324139	8043.459195	8669.920499	7819.407819	6802.1903	6081.616676	6774.515762
C	494767.7782	519114.7364	501656.9833	481817.1877	455479.2831	437593.0173	433291.1788	459270.2951	409934.4777	393553.5003	403702.5355	423986.5945	563897.2981	496728.357	537684.2207
D	46561.41593	48599.44108	48429.08477	46181.92299	45001.55361	44259.83777	35494.18662	37936.09072	38499.89666	35734.46845	35337.67367	38453.68429	37724.22724	33175.27112	39724.29671
E	514221.9776	545455.8628	526604.5091	506176.3991	495246.667	486910.229	436182.5882	475508.8033	461365.9735	419781.113	431475.7989	469491.2603	541038.1386	492767.7607	552834.1179
F	140769.6804	143961.6017	143706.1482	141816.8658	137843.6869	138199.0054	120328.2481	125902.4125	127408.4793	123484.7704	130326.1792	140322.2214	120354.5339	116467.9705	134182.3472
G	317636.1407	319631.5728	320308.4053	338261.9841	334565.8846	326126.7406	230054.7067	245095.1586	243076.4131	230545.9453	231104.2873	229676.1973	239934.1157	215821.6217	258632.2643
H	168540.3812	176009.1403	173695.8103	168604.5783	161023.639	156891.7507	133476.1143	145633.9086	143690.9275	132301.1888	134667.6183	148283.2942	160899.8976	146751.9589	171172.6174
I	190160.8349	204209.4049	196768.5066	186643.0826	177999.9001	176121.6251	174686.7201	190990.6372	182929.872	158234.3394	160034.4609	183181.0749	206822.6359	188466.3726	210268.7029
J	308446.7042	320018.0893	318316.8256	311906.4398	307903.7685	308437.5283	230410.661	259981.0554	270521.8043	238881.1688	230742.3959	272485.0079	221712.9769	210499.0383	259144.2293
K	211051.0627	220414.1897	218651.7543	203308.3361	206168.3405	201890.3715	177524.9411	196274.1674	197916.5249	178814.3556	172415.3067	178457.4572	192424.7506	174267.9982	201851.0809
L	403524.7202	395385.7449	398074.1353	379765.4919	374417.038	373142.1947	412195.7595	434696.9334	406222.028	418964.9518	423252.0997	369116.0421	455188.1176	447510.1324	454828.7344
M	336688.5331	353949.6413	341281.047	351666.3457	347495.7147	337986.9896	246996.3739	263831.6438	265589.5529	251098.2346	250226.1559	274594.1457	260665.7625	235956.5567	278970.5021
N	34332.6908	33684.95445	35553.04831	29942.88282	25957.49106	24792.54179	21964.35036	23527.86781	23706.31193	23292.85211	20970.04588	20429.70012	30359.33843	26718.15184	22651.37029
O	260521.2757	271977.5014	264956.7668	266503.2019	253306.0331	248015.9907	207233.2001	234000.2097	231625.1979	208221.3108	209475.8922	234892.9652	236754.0158	221821.3313	248604.0086
P	397319.8209	414317.2582	407499.3085	407493.1369	404733.503	399120.3446	278900.8318	312687.8121	322167.083	299176.8522	305618.8281	329742.4344	275799.0619	260333.1354	316791.2573
Q	101713.8649	111176.9772	105904.4978	105548.5898	94348.4265	90916.82771	129361.7574	131075.0863	118851.795	98457.49661	97346.0727	121203.8395	126375.1211	116372.3048	131405.3657
T	334049.3913	341734.3729	337431.8263	313725.716	308133.459	296578.5284	287213.3251	279807.4335	254249.8328	248265.4977	231903.7776	229309.5225	341004.3017	293501.6943	285182.3554
U	85073.16033	88474.27245	88750.06606	85454.69454	78516.43478	76152.75689	71275.26146	80962.98097	81307.83785	76305.54192	74787.72956	84336.72336	80376.95712	75877.38285	81703.31532
V	95667.81741	98197.83706	96198.08841	105494.0088	103286.1994	101667.2369	86922.66247	85578.54685	87843.88292	80209.76267	74761.29489	79818.17384	68165.90223	61754.19071	87788.65051
W	82.97987911	43.26801945	30.06410561	25.70499448	29.99452933	41.32648705	135.8958524	191.0200121	184.4679653	196.4220412	199.4028354	206.3911094	48.08100893	89.85591042	17.53456881
Y	0	0	0	0	0	0	6.84452187	14.42842267	17.15359078	0	0	0	0	0	0
Z	649.3817759	563.2088895	941.1689248	540.5479824	554.8603505	579.4963539	856.3451646	921.3799861	1403.088048	1845.665747	1383.899585	1811.030013	340.3334833	486.8863391	384.4145655
