KO_Pathway_Level3	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.JF.1	P.JF.2	P.JF.3	P.SC.1	P.SC.2	P.SC.3	Control.1	Control.2	Control.3
Amino sugar and nucleotide sugar metabolism	54355.13884	53912.42636	55080.73529	61040.1566	57912.37146	55408.94504	43397.36457	41097.94846	41309.38934	42820.22686	43531.71323	44816.8978	42817.79253	38502.48112	46731.19973
Ascorbate and aldarate metabolism	7783.700316	7981.209941	7991.314087	8757.041664	8626.317324	8459.120807	6223.717416	6725.463425	6751.45717	5979.888459	6887.316111	7066.891922	6370.469527	5965.035562	7940.935937
Butanoate metabolism	48733.00955	52375.91517	50524.62187	45730.2478	43054.56202	43010.32232	42864.2138	43533.12653	46131.03395	45752.70451	49361.95165	45609.52667	64275.43116	58621.28038	61121.30177
C5-Branched dibasic acid metabolism	18225.36447	19602.73168	19183.6357	17743.32764	16654.42267	16609.64628	14002.86791	14214.28479	15487.66531	14536.07672	15820.47549	15565.962	17171.93506	16158.5106	18186.79033
Citrate cycle (TCA cycle)	70372.15952	73204.3883	70472.61205	69994.43163	67602.7016	66779.79226	54737.13296	57609.62795	62427.08255	58167.90825	61496.93062	57684.54345	68665.0745	61804.00735	70542.14693
Fructose and mannose metabolism	31615.98361	31979.43097	32017.58985	34161.39791	33947.10728	33525.21354	21792.12	21603.6288	21352.75526	22060.9038	22551.13524	23444.88293	22753.73349	20478.35037	23688.11
Galactose metabolism	26714.48729	25333.87709	26828.34716	30125.72295	30152.97184	29615.702	18544.98895	17743.37531	16468.28625	17685.51957	17856.56926	17847.21776	15107.75083	13356.56126	17664.50743
Glycolysis / Gluconeogenesis	72667.56116	75690.98286	74252.68248	74125.59085	72873.79222	73444.45318	54499.06566	55715.59511	58808.89643	57140.96754	59351.169	57395.44411	61313.21819	56090.47614	65604.42905
Glyoxylate and dicarboxylate metabolism	60038.0268	62413.65062	62398.05825	57287.04129	55195.70002	54539.95785	51282.33191	54631.62657	60511.15912	52914.50414	58047.0607	55376.25913	58992.03642	55398.80854	61341.69805
Inositol phosphate metabolism	7016.110743	6639.674013	6635.989328	7390.210665	6531.461643	6291.748983	5381.067311	5814.107856	5319.920701	6899.202689	6707.607508	6501.949282	8120.105662	7621.229	8380.684258
Pentose and glucuronate interconversions	17153.27336	17384.09313	17599.27781	19047.08526	18870.58006	17975.06499	12173.48853	13195.6455	12942.73074	12842.19919	13767.88202	13474.2217	14660.33208	13279.15337	16005.34736
Pentose phosphate pathway	47375.56867	48195.25744	46740.1784	48211.55945	46727.38204	45382.79212	36656.4057	35969.75506	35151.79971	40953.03612	41082.91307	38132.29999	54568.76317	44776.12191	47447.20033
Propanoate metabolism	53728.93835	56057.68936	55500.17962	52003.26144	49928.08627	50792.79517	47167.14182	47853.22295	52147.59413	49037.19407	52694.07359	49394.46861	58245.93717	53582.83708	58835.63776
Pyruvate metabolism	92855.19987	97216.91498	95446.23323	92784.30204	90110.61811	90246.40105	76388.36228	80741.93721	87117.52788	81855.43757	85070.43277	80331.97954	85578.83611	79751.99078	93359.44659
Starch and sucrose metabolism	58706.88939	60620.25059	58145.04464	62892.53973	62093.96601	60869.9697	40776.573	40938.97081	41414.73735	40754.21058	42179.26454	41146.8399	33462.3999	31499.72906	40563.12559
