	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
macB	1.899652191	1.402437007	1.543574548	1.979568395	1.466919631	1.263654624	1.303362017	1.620773935	1.143474405	1.310852963	0.994933101	1.038562339	1.557227499	1.351401471	1.7456463
mexW	0.903113337	1.038445723	1.187365037	1.01062176	0.955427917	0.994198859	1.009370585	1.402371774	1.45096332	0.812512167	0.958083726	1.443601651	0.511660464	0.943835948	0.984723554
cpxR	1.100344985	1.316791999	1.306101541	1.177322256	1.129142084	0.845533609	0.950572298	1.13799021	0.922466747	0.823345663	0.875172635	1.059333586	0.867598178	0.933110539	1.136908103
acrB	1.847749126	1.766428292	2.493466578	2.115012549	1.602030649	1.663192484	0.42138772	0.471288875	0.586150745	0.574175265	0.442192489	0.64390865	0.144599696	0.193057353	0.170088614
Multidrug transporter	0.820068432	0.749393821	0.917509347	1.229416161	1.01333264	0.668993625	0.235193146	0.344845518	0.422797259	0.422506327	0.515891237	0.924320482	0.122353589	0.107254085	0.483409745
bacA	0.653978623	0.952800715	1.111805444	0.687639548	0.694856667	0.780492562	0.235193146	0.229897012	0.422797259	0.346671858	0.359281397	0.353111195	0.456045196	0.268135212	0.447601615
cAMP-regulatory protein	0.633217397	0.5352813	1.349278451	0.416751241	0.443936204	0.761909406	0.24499286	0.390824921	0.509278516	0.249170398	0.534315924	0.591980533	0.122353589	0.160881127	0.196944711
tetP	0.342560231	0.524575674	0.53971138	0.6042893	0.511491713	0.49245364	0.489985721	0.540257978	0.432406288	0.455006814	0.608014673	0.456967429	0.367060768	0.225233578	0.537121938
mexF	0.50865004	0.278346276	0.561299836	0.823083701	0.723809028	0.678285203	0.235193146	0.298866116	0.470842402	0.595842256	0.46982952	0.560823663	0.200214964	0.257409804	0.250656905
ABC transporter	0.50865004	0.503164422	0.647653657	0.562614176	0.482539352	0.501745219	0.323390576	0.287371265	0.355534059	0.476673805	0.350069054	0.384268065	0.433799089	0.203782761	0.367033325
mexI	0.570933719	0.599515057	0.658447884	0.541776613	0.559745648	0.566786265	0.323390576	0.298866116	0.27866183	0.357505354	0.414555459	0.508895546	0.15572275	0.203782761	0.196944711
arnA	0.591694945	0.545986927	0.345415284	0.552195394	0.250920463	0.315913656	0.489985721	0.344845518	0.403579202	0.476673805	0.221096245	0.197326844	0.222461071	0.193057353	0.393889422
ompR	0.363321457	0.278346276	0.356209511	0.479263927	0.357079121	0.241581031	0.401788291	0.517268277	0.317097944	0.249170398	0.423767802	0.270026208	0.389306875	0.343213072	0.492361777
smeE	0.37370207	0.449636292	0.431769104	0.687639548	0.598348797	0.260164187	0.097997144	0.172422759	0.144135429	0.09750146	0.119760466	0.290797455	0.033369161	0	0.089520323
tet35	0.301037779	0.385402536	0.72321325	0.30214465	0.212317315	0.241581031	0.127396287	0.344845518	0.259443773	0.130001947	0.110548122	0.093470611	0.222461071	0.13943031	0.107424388
mexB	0.384082683	0.556692553	0.593682519	0.395913679	0.366729908	0.250872609	0.068598001	0.057474253	0.009609029	0.054167478	0.092123435	0.06231374	0	0.021450817	0.026856097
acrF	0.37370207	0.545986927	0.485740242	0.30214465	0.386031482	0.278747344	0.137196002	0.011494851	0.057654172	0.065000973	0.055274061	0.03115687	0	0.042901634	0.035808129
bcrA	0.166089809	0.256935024	0.248267235	0.218794402	0.173714167	0.176539984	0.048998572	0.057474253	0.105699315	0.075834469	0.073698748	0.145398727	0.088984429	0.075077859	0.053712194
vanR	0.114186744	0.181995642	0.151119187	0.156281715	0.135111019	0.102207359	0.24499286	0.172422759	0.076872229	0.086667965	0.027637031	0.051928117	0.144599696	0.128704902	0.062664226
mdtK	0.031141839	0.042822504	0.712419022	0	0.048253935	0.018583156	0.009799714	0	0.057654172	0.010833496	0	0.041542494	0.011123054	0	0.008952032
ksgA	0.041522452	0.117761886	0.22667878	0.083350248	0.086857083	0.092915781	0.039198858	0.034484552	0.009609029	0.032500487	0.092123435	0.041542494	0.033369161	0	0.017904065
ArlR	0.083044905	0.117761886	0.064765366	0.062512686	0.048253935	0.102207359	0.048998572	0.057474253	0.009609029	0.075834469	0.036849374	0.041542494	0.055615268	0.021450817	0.017904065
mexT	0.020761226	0.05352813	0.161913414	0.093769029	0.057904722	0.102207359	0.009799714	0.045979402	0.048045143	0.021666991	0.064486405	0.093470611	0	0.021450817	0.008952032
mexD	0.124567357	0.181995642	0.097148048	0.031256343	0.115809445	0.055749469	0	0.011494851	0.019218057	0.043333982	0.018424687	0.020771247	0.033369161	0.010725408	0
ceoB	0.041522452	0.085645008	0.075559593	0.020837562	0.048253935	0.037166312	0.019599429	0.022989701	0.0672632	0.043333982	0.064486405	0.103856234	0.055615268	0.010725408	0.008952032
Histidine kinase	0.031141839	0.010705626	0.259061463	0	0.019301574	0.009291578	0.058798287	0.057474253	0.038436114	0.021666991	0.027637031	0	0.033369161	0.010725408	0
tet34	0.010380613	0.021411252	0.22667878	0	0.057904722	0	0	0.022989701	0.134526401	0.021666991	0.009212344	0.010385623	0	0.032176225	0.017904065
adeJ	0.124567357	0.085645008	0.140324959	0.041675124	0.038603148	0.009291578	0.019599429	0.011494851	0.009609029	0	0.009212344	0.020771247	0.022246107	0	0.008952032
rosB	0.041522452	0.010705626	0.032382683	0.135444153	0	0.009291578	0.009799714	0.034484552	0.057654172	0.032500487	0.027637031	0.020771247	0.022246107	0.010725408	0.044760162
sul2	0.062283678	0.032116878	0.118736504	0.031256343	0.019301574	0.074332625	0	0	0.009609029	0.021666991	0.009212344	0.020771247	0	0	0.035808129
sul1	0.031141839	0.032116878	0.086353821	0.041675124	0.009650787	0.046457891	0.068598001	0.022989701	0.019218057	0	0.018424687	0.041542494	0	0	0
oprC	0.020761226	0.05352813	0.053971138	0.052093905	0.019301574	0.037166312	0.019599429	0	0.057654172	0	0	0.051928117	0	0.010725408	0.026856097
smeB	0.031141839	0.021411252	0.086353821	0.093769029	0.038603148	0.055749469	0.029399143	0	0.019218057	0.021666991	0	0	0	0	0
tetT	0.020761226	0	0.04317691	0.041675124	0.038603148	0.018583156	0.029399143	0.068969104	0	0.032500487	0.009212344	0.041542494	0.011123054	0.010725408	0.026856097
mexY	0.010380613	0.032116878	0.053971138	0.072931467	0.067555509	0.037166312	0.019599429	0.011494851	0.009609029	0.021666991	0	0	0	0	0.008952032
catB	0.072664291	0	0.086353821	0.041675124	0.028952361	0.027874734	0.009799714	0.011494851	0.009609029	0	0.009212344	0.041542494	0	0	0
OXA-50	0.041522452	0.010705626	0.032382683	0.010418781	0.028952361	0.018583156	0.009799714	0.011494851	0.019218057	0.043333982	0.009212344	0.041542494	0.011123054	0.032176225	0.008952032
mdtC	0.041522452	0	0.04317691	0.052093905	0.028952361	0.009291578	0.009799714	0	0	0.032500487	0.046061718	0	0	0.032176225	0.026856097
vatG	0.083044905	0.032116878	0.010794228	0	0.019301574	0.074332625	0.009799714	0	0.038436114	0.021666991	0	0.020771247	0	0	0.008952032
mdtB	0.041522452	0.032116878	0.010794228	0.062512686	0.009650787	0.046457891	0	0	0	0	0	0	0.011123054	0.042901634	0.044760162
mexE	0.010380613	0.042822504	0.075559593	0.041675124	0.038603148	0.009291578	0.019599429	0	0.009609029	0.010833496	0.009212344	0	0	0	0
dfrA16	0	0.042822504	0	0	0	0.027874734	0.009799714	0.057474253	0	0.010833496	0.018424687	0.020771247	0.033369161	0.021450817	0
fosX	0.031141839	0.010705626	0	0.041675124	0	0.018583156	0	0.022989701	0.019218057	0	0.018424687	0	0.033369161	0.032176225	0.008952032
mdtF	0.020761226	0.021411252	0.086353821	0	0	0.027874734	0	0	0.009609029	0.021666991	0.009212344	0.020771247	0	0	0.008952032
tet40	0.020761226	0	0	0.010418781	0	0.009291578	0.019599429	0.011494851	0.009609029	0.010833496	0	0	0.022246107	0.032176225	0.071616258
cmeB	0.031141839	0.042822504	0.053971138	0	0.009650787	0.009291578	0.009799714	0	0	0.021666991	0	0	0	0.010725408	0.026856097
aac(3)-I	0.010380613	0	0.010794228	0.010418781	0	0.046457891	0	0.022989701	0.009609029	0.021666991	0.036849374	0	0.011123054	0	0.026856097
bpeF	0	0.010705626	0.010794228	0	0.019301574	0.009291578	0	0.034484552	0.019218057	0.010833496	0	0	0	0.053627042	0.008952032
dfrA15	0.010380613	0.021411252	0	0.010418781	0.028952361	0.027874734	0	0	0	0.021666991	0.009212344	0	0.011123054	0	0.008952032
PBP-1A	0.010380613	0.010705626	0	0.020837562	0.009650787	0.027874734	0	0.011494851	0.009609029	0	0.009212344	0	0	0	0.026856097
