	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
k__Archaea|p__Archaea_noname|c__Archaea_noname	0.00247	0	0.00225	0.00894	0	0.00724	0	0	0	0.0058	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	0.13068	0.09751	0.08763	0.0875	0.08414	0.16706	0.01979	0.06181	0.05771	0.08129	0.06588	0.06326	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.00314	0	0	0.01512	0.01058	0.00115	0.02254	0	0.03187	0.00919	0.00693	0	0.01752	0.01601	0.00483
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.08308	0.02826	0.0288	0.01849	0.01052	0.00131	0	0.02994	0.04536	0.00829	0.00781	0.00132	0.20401	0.13235	0.0109
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname	0.03252	0.06147	0.02816	0.05478	0.04314	0.0887	0.68937	1.62955	0.81745	0.77189	0.452	0.43249	21.98694	24.84643	36.82854
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.03511	0.02825	0.0249	0.0628	0.01851	0.04032	0.02519	0.10941	0.15369	0.03155	0.00678	0.01185	0.04991	0.04149	0.00777
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.00777	0.03012	0.03378	0.03323	0.01987	0.00232	0.01141	0.05338	0.00786	0	0.00993	0.0054	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia	0.31095	0.21852	0.30835	0.33832	0.37628	0.68722	0.05245	0.17653	0.3431	0.10276	0.06482	0.09084	0	0.0061	0.01931
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	39.74545	57.0505	35.74811	49.73758	65.46882	65.28543	2.90057	5.56477	10.49386	1.7923	1.10939	1.31334	0.14861	0.09847	0.25741
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.00677	0.01683	0.00944	0.01607	0.01379	0.021	0.03056	0.2048	0.31859	0.00475	0.00204	0.00488	0	0.00491	0.00887
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	0.00199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname	0.19222	0.32374	0.38677	0.48483	0.24832	0.4221	0.18322	0.16483	0.2919	0.17722	0.14616	0.20138	0	0.03255	0.05445
k__Bacteria|p__Firmicutes|c__Bacilli	0.0812	0.04467	0.04157	0.06209	0.08265	0.04246	0	0.01205	0	0.01589	0.00262	0.00355	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	0.01538	0.00137	0.00735	0.00546	0.00318	0.00846	0	0.02349	0.04993	0.00529	0.00147	0.00141	0.14844	0.04749	0.06758
k__Bacteria|p__Marinimicrobia|c__Marinimicrobia_noname	0.00948	0.0064	0.00518	0	0.00314	0	0	0	0	0.02821	0.01909	0.01415	0	0	0.01133
k__Bacteria|p__Planctomycetes|c__Planctomycetia	0.02725	0.01676	0.02385	0.04416	0.01937	0.02332	0.03486	0.09143	0.12251	0.01441	0.00869	0.02358	0.00724	0.02203	0.02396
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1.08633	1.09826	1.27359	0.71431	0.54126	0.64767	1.41052	5.44463	4.37851	1.08314	0.70402	0.80519	0.48985	0.56833	0.90553
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.26406	0.25498	0.22075	0.42055	0.25655	0.33936	0.26684	0.67072	0.72744	0.10268	0.192	0.1197	0.24352	0.16096	0.42854
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.76199	0.62704	1.41992	0.56506	0.41232	0.24548	1.13608	1.21795	1.1316	0.33093	0.21818	0.13506	1.32526	0.74852	1.12025
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	15.32625	8.90884	13.05391	1.58665	0.80942	0.97275	31.69754	27.23368	12.08355	1.56924	0.68623	0.21626	10.3719	3.23445	0.51479
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	35.10871	28.37024	45.21902	44.87878	30.6134	29.55519	37.70652	48.76382	56.22396	18.52249	12.65026	15.93711	37.75575	35.37536	44.23012
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_noname	0.02627	0.02803	0.02924	0.00468	0.01409	0.00951	0.03073	0.12364	0.16885	0.06379	0.08324	0.0728	0.2757	0.17244	0.1588
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00841	0.01066	0.01278	0.01352	0.00473	0.00513	0.00504	0.03304	0.19943	0.00822	0.00723	0.00497	0	0	0.00432
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	0.01379	0	0.01257	0.00831	0.00582	0.01514	0	0.04061	0.14009	0.0485	0.00508	0.01172	0.02567	0.02346	0.02125
k__Eukaryota|p__Apicomplexa|c__Coccidia	0.00564	0.00596	0.00515	0	0	0.00923	0	0.07433	0.03561	0.05129	0.0104	0.02278	0.04176	0.02386	0.01296
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname	0.8944	0.57508	0.99636	0.37634	0.81823	1.36903	2.47372	7.36076	10.48609	2.60598	1.13713	0.8358	1.00384	1.02715	1.08768
k__Viruses|p__Viruses_noname|c__Viruses_noname	5.81867	2.18221	0.93333	0.01059	0.01112	0.00965	21.25489	0.90608	0.75084	72.53465	82.24676	79.646	25.88173	32.96804	14.19123
k__Bacteria|p__Bacteria_noname|c__Bacteria_noname	0	0.00126	0	0	0.00126	0	0	0	0	0.00174	0	0.00506	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia	0	0.01038	0	0.00931	0.00793	0	0.02442	0	0.03723	0.00429	0	0.00467	0	0	0.00565
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0	0.00268	0.00687	0.01	0.01012	0.01607	0	0	0.01915	0.01321	0	0.00908	0	0	0.01158
k__Archaea|p__Euryarchaeota|c__Methanococci	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0
