Functional_Category	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
S: Function unknown	0.202551382	0.211650947	0.203006382	0.20199845	0.204206071	0.203338457	0.157962122	0.170831978	0.1751843	0.161371052	0.165702372	0.171320444	0.171118483	0.159756329	0.181356357
C: Energy production and conversion	0.056663448	0.059451757	0.05745239	0.055180248	0.052163889	0.050115486	0.049622798	0.052598064	0.046947848	0.045071811	0.046234165	0.048557185	0.064580471	0.056887945	0.061578412
E: Amino acid transport and metabolism	0.058891447	0.062468482	0.060309512	0.057969994	0.05671826	0.055763556	0.049953938	0.054457784	0.052838053	0.048075535	0.049414907	0.05376862	0.06196252	0.056434356	0.063313458
"L: Replication, recombination and repair"	0.046213806	0.04528166	0.045589539	0.043492749	0.042880213	0.042734234	0.047206839	0.049783793	0.046522679	0.047982064	0.048473085	0.04227312	0.052130526	0.051251215	0.052089368
P: Inorganic ion transport and metabolism	0.045503187	0.047449797	0.046668959	0.046668265	0.046352215	0.04570939	0.031941199	0.035810663	0.036896265	0.034263302	0.035001096	0.037763846	0.031585953	0.02981472	0.036280594
M: Cell wall/membrane/envelope biogenesis	0.038559369	0.040536179	0.039085296	0.040274687	0.039797041	0.038708073	0.028287332	0.030215396	0.03041671	0.028757087	0.028657232	0.031447973	0.029852808	0.027022986	0.031949163
T: Signal transduction mechanisms	0.03825712	0.039137222	0.038644463	0.035929525	0.035289068	0.033965755	0.03289319	0.032045028	0.029118025	0.028432667	0.026558856	0.026261738	0.039053598	0.033613358	0.032660577
G: Carbohydrate transport and metabolism	0.036377387	0.036605893	0.036683399	0.038739548	0.038316249	0.037349774	0.026347082	0.028069594	0.027838387	0.026403331	0.026467294	0.026303732	0.027478511	0.024717028	0.029619921
"J: Translation, ribosomal structure and biogenesis"	0.035324964	0.036650159	0.036455313	0.035721172	0.035262763	0.035323911	0.026387848	0.029774406	0.030981577	0.027357924	0.026425848	0.031206423	0.025391731	0.024107457	0.029678554
"O: Posttranslational modification, protein turnover, chaperones"	0.029836288	0.031148298	0.030344239	0.030521354	0.029009942	0.028404114	0.023733443	0.026798942	0.026526933	0.023846597	0.023990295	0.026901184	0.027114309	0.025404146	0.028471433
K: Transcription	0.024170695	0.025242995	0.025041146	0.023283944	0.023611485	0.023121562	0.020331096	0.022478356	0.022666439	0.020478758	0.019745919	0.020437891	0.02203749	0.019958088	0.023117043
I: Lipid transport and metabolism	0.021778234	0.023387138	0.022534962	0.021375351	0.020385487	0.020170388	0.020006047	0.021873258	0.020950089	0.018121826	0.018327999	0.020978865	0.023686411	0.021584161	0.024081073
H: Coenzyme transport and metabolism	0.019302144	0.020157495	0.019892556	0.019309486	0.018441276	0.01796808	0.015286391	0.016678766	0.016456239	0.015151826	0.015422853	0.016982186	0.018427099	0.016806806	0.019603584
F: Nucleotide transport and metabolism	0.016121695	0.016487242	0.016457982	0.016241616	0.015786586	0.015827287	0.013780628	0.01441901	0.014591488	0.014142124	0.014925648	0.016070442	0.013783631	0.013338525	0.015367265
"Q: Secondary metabolites biosynthesis, transport and catabolism"	0.011648815	0.012732574	0.012128739	0.012087982	0.010805279	0.01041228	0.014815193	0.015011412	0.013611531	0.011275869	0.011148591	0.013880904	0.014473141	0.013327569	0.015049231
V: Defense mechanisms	0.010956389	0.011246134	0.01101711	0.012081731	0.01182888	0.011643474	0.009954843	0.009800908	0.010060343	0.009186043	0.008562062	0.009141199	0.007806716	0.007072415	0.010054016
"U: Intracellular trafficking, secretion, and vesicular transport"	0.009743033	0.01013254	0.010164123	0.009786723	0.008992116	0.00872142	0.00816282	0.009272309	0.0093118	0.008738911	0.008565089	0.009658687	0.00920519	0.008689877	0.009357091
"D: Cell cycle control, cell division, chromosome partitioning"	0.005332462	0.005565864	0.005546353	0.005288998	0.005153815	0.005068873	0.004064982	0.004344642	0.00440921	0.004092499	0.004047059	0.004403919	0.004320376	0.003799407	0.004549434
N: Cell motility	0.003931963	0.003857779	0.004071722	0.003429217	0.002972789	0.002839374	0.002515474	0.002694536	0.002714971	0.00266762	0.002401601	0.002339717	0.00347691	0.003059903	0.002594154
B: Chromatin structure and dynamics	0.00060093	0.000600666	0.000579056	0.000558331	0.000542056	0.000462214	0.000594258	0.000613605	0.000591446	0.000921179	0.000992925	0.00089552	0.000779022	0.000696499	0.000775853
Z: Cytoskeleton	7.44E-05	6.45E-05	0.000107788	6.19E-05	6.35E-05	6.64E-05	9.81E-05	0.000105521	0.000160689	0.000211375	0.000158492	0.000207409	3.90E-05	5.58E-05	4.40E-05
A: RNA processing and modification	5.50E-05	4.99E-05	6.91E-05	7.36E-05	5.45E-05	4.07E-05	5.90E-05	7.88E-05	0.000132352	0.000122423	7.15E-05	0.000123822	7.13E-05	7.89E-05	0.000115523
W: Extracellular structures	9.50E-06	4.96E-06	3.44E-06	2.94E-06	3.44E-06	4.73E-06	1.56E-05	2.19E-05	2.11E-05	2.25E-05	2.28E-05	2.36E-05	5.51E-06	1.03E-05	2.01E-06
Y: Nuclear structure	0	0	0	0	0	0	7.84E-07	1.65E-06	1.96E-06	0	0	0	0	0	0
Others	0.288096782	0.260089681	0.278146028	0.289922132	0.30136287	0.312240936	0.415979128	0.372219701	0.381049196	0.423305312	0.418682639	0.389051511	0.351618876	0.402512047	0.328291417
